Start time,End time,Dataset,Augmentation technique,Dataset Reduction (r),Experiment #,Training Epochs,Test loss,Test accuracy
36:43.0,49:14.0,Google Snippets,No Augmentation,0.657577319,28,167,0.423057399,88.44580777
24:35.5,49:20.0,Google Snippets,No Augmentation,0.086186148,24,429,0.569656979,84.49612403
05:48.4,49:20.6,Google Snippets,No Augmentation,0.193820026,9,341,0.746538759,80.27681661
11:00.4,49:39.8,Google Snippets,Augmentation with max. window size 3,0.236572006,25,245,0.632787012,83.80681818
33:40.0,49:48.7,Google Snippets,Augmentation with max. window size 3,0.468521083,14,243,0.557326453,86.80057389
42:44.9,49:51.6,Google Snippets,Augmentation with max. window size 2,0.508638306,2,197,0.536843366,86.65785997
12:46.3,49:55.6,Google Snippets,Augmentation with max. window size 3,0.13667714,21,423,0.788657972,80.39215686
17:12.9,49:58.6,Google Snippets,Augmentation with max. window size 2,0.173925197,15,297,0.713317249,81.46718147
31:53.0,50:12.2,Google Snippets,No Augmentation,0.552841969,11,224,0.50581827,87.48481166
13:28.3,50:15.2,Google Snippets,No Augmentation,0.15490196,6,360,0.805199897,80.51948052
04:04.3,50:43.1,Google Snippets,Augmentation with max. window size 2,0.366531544,25,184,0.639933728,84.22018349
56:58.1,50:43.9,Google Snippets,No Augmentation,0.30980392,5,272,0.570957288,84.164859
40:32.4,50:51.1,Google Snippets,Augmentation with max. window size 2,0.552841969,21,190,0.564625525,85.29769137
32:45.3,50:56.7,Google Snippets,Augmentation with max. window size 2,0.431798276,6,257,0.471530449,88.00623053
23:14.8,51:11.0,Google Snippets,Augmentation with max. window size 3,0.468521083,0,269,0.596533124,86.2266858
30:51.6,51:12.9,Google Snippets,Augmentation with max. window size 3,0.086186148,9,396,0.907480112,73.64341085
13:59.4,51:35.6,Google Snippets,Augmentation with max. window size 2,0.13667714,11,418,0.808392118,80.39215686
37:59.1,51:42.5,Google Snippets,Augmentation with max. window size 2,0.795880017,27,130,0.45653704,87.02826087
02:19.3,51:57.3,Google Snippets,No Augmentation,0.259637311,16,309,0.706186579,81.9121447
27:11.1,52:03.4,Google Snippets,No Augmentation,0.086186148,16,426,0.972295346,73.64341085
18:39.8,52:06.3,Google Snippets,No Augmentation,0.119186408,4,415,0.83575386,78.65168539
34:09.2,52:26.5,Google Snippets,Augmentation with max. window size 3,0.508638306,12,219,0.558548228,85.07265522
19:17.0,52:34.7,Google Snippets,No Augmentation,0.173925197,4,278,0.686637716,83.01158301
10:26.1,52:58.8,Google Snippets,No Augmentation,0.337242168,24,195,0.645201201,83.26693227
29:57.0,53:01.9,Google Snippets,Augmentation with max. window size 2,0.102372909,10,434,0.671897101,81.04575163
59:02.5,53:22.7,Google Snippets,No Augmentation,0.337242168,10,254,0.571007185,86.45418327
05:12.1,53:33.8,Google Snippets,Augmentation with max. window size 2,0.283996656,3,266,0.695236761,81.08747045
15:59.4,53:36.3,Google Snippets,Augmentation with max. window size 2,0.30980392,9,191,0.627241138,83.51409978
03:06.4,53:43.1,Google Snippets,No Augmentation,0.214670165,0,358,0.61847807,82.8125
20:37.9,53:56.8,Google Snippets,No Augmentation,0.070581074,3,384,0.950436452,76.41509434
00:06.6,54:04.4,Google Snippets,No Augmentation,0.366531544,1,225,0.667056658,82.01834862
26:57.2,54:04.6,Google Snippets,Augmentation with max. window size 2,0.119186408,14,342,0.72753478,83.70786517
17:44.9,54:10.6,Google Snippets,No Augmentation,0.13667714,29,389,0.820616715,80.88235294
27:08.2,54:16.9,Google Snippets,Augmentation with max. window size 2,0.102372909,17,405,0.777844377,81.69934641
54:54.3,54:17.2,Google Snippets,Augmentation with max. window size 3,0.283996656,6,316,0.601982564,82.26950355
36:02.4,54:22.4,Google Snippets,No Augmentation,0.657577319,14,180,0.413201615,89.0593047
02:58.1,54:27.0,Google Snippets,Augmentation with max. window size 3,0.30980392,25,260,0.57365697,85.90021692
57:44.0,54:40.8,Google Snippets,Augmentation with max. window size 2,0.30980392,1,288,0.528134715,86.11713666
19:04.1,54:42.8,Google Snippets,No Augmentation,0.102372909,0,533,0.833914226,77.77777778
21:13.0,54:54.6,Google Snippets,Augmentation with max. window size 3,0.119186408,17,442,0.690766842,81.46067416
21:27.1,55:01.7,Google Snippets,Augmentation with max. window size 2,0.193820026,20,272,0.6056214,83.0449827
32:08.6,55:06.7,Google Snippets,No Augmentation,0.795880017,3,162,0.438363576,88.66521739
30:12.8,55:09.0,Google Snippets,Augmentation with max. window size 3,0.102372909,27,369,0.840103665,76.47058824
59:47.9,55:35.6,Google Snippets,No Augmentation,0.366531544,8,237,0.550476236,84.40366972
13:58.0,55:57.3,Google Snippets,Augmentation with max. window size 2,0.236572006,1,290,0.630821875,83.23863636
23:55.0,56:02.7,Google Snippets,No Augmentation,0.102372909,27,456,0.929490956,72.54901961
53:48.2,56:07.3,Google Snippets,No Augmentation,0.283996656,14,353,0.831453409,78.25059102
39:13.4,56:10.0,Google Snippets,Augmentation with max. window size 3,0.102372909,0,288,0.80474959,81.04575163
07:58.2,56:16.5,Google Snippets,No Augmentation,0.283996656,21,268,0.704292032,83.45153664
00:44.4,56:50.8,Google Snippets,Augmentation with max. window size 2,0.283996656,24,315,0.567086801,85.81560284
26:19.7,56:51.4,Google Snippets,Augmentation with max. window size 2,0.15490196,17,297,0.647900169,84.84848485
27:07.6,56:53.5,Google Snippets,No Augmentation,0.173925197,26,259,0.67193205,82.23938224
31:33.2,56:53.7,Google Snippets,No Augmentation,0.055517328,27,371,0.639096139,87.95180723
37:06.9,57:01.4,Google Snippets,Augmentation with max. window size 2,0.552841969,14,203,0.476528354,87.84933171
45:48.1,57:12.2,Google Snippets,Augmentation with max. window size 2,0.657577319,24,155,0.54227514,85.27607362
05:26.1,57:33.3,Google Snippets,Augmentation with max. window size 3,0.366531544,7,202,0.495630013,87.1559633
29:25.1,57:58.2,Google Snippets,Augmentation with max. window size 2,0.193820026,27,243,0.916752184,75.77854671
04:37.7,57:58.6,Google Snippets,Augmentation with max. window size 2,0.366531544,11,218,0.528512697,86.78899083
22:27.2,58:01.6,Google Snippets,Augmentation with max. window size 3,0.193820026,2,280,0.723980928,82.35294118
55:45.5,58:05.6,Google Snippets,Augmentation with max. window size 3,0.366531544,0,245,0.610660565,82.93577982
38:34.6,58:09.6,Google Snippets,Augmentation with max. window size 2,1,9,134,0.460718916,87.67915811
54:01.1,58:13.2,Google Snippets,No Augmentation,0.283996656,28,353,0.652411836,82.26950355
17:49.6,58:14.4,Google Snippets,Augmentation with max. window size 2,0.236572006,15,279,0.597003734,84.09090909
17:56.5,58:24.4,Google Snippets,Augmentation with max. window size 3,0.236572006,11,267,0.556589561,85.79545455
40:16.1,58:24.7,Google Snippets,No Augmentation,0.657577319,7,178,0.566910546,85.88957055
28:54.3,58:28.1,Google Snippets,Augmentation with max. window size 2,0.15490196,10,288,0.658953343,81.38528139
27:22.1,59:05.0,Google Snippets,Augmentation with max. window size 2,0.173925197,22,297,0.566013232,85.32818533
37:28.5,59:07.1,Google Snippets,Augmentation with max. window size 2,0.657577319,10,186,0.423879003,88.65030675
01:41.5,59:12.5,Google Snippets,No Augmentation,0.283996656,7,327,0.523386195,85.81560284
42:06.8,59:14.7,Google Snippets,Augmentation with max. window size 2,0.602059991,19,180,0.454485249,88.05803571
45:12.3,59:24.8,Google Snippets,No Augmentation,0.508638306,27,221,0.483480846,87.45046235
18:01.2,59:29.2,Google Snippets,Augmentation with max. window size 2,0.236572006,29,277,0.698789241,80.68181818
25:52.1,59:36.7,Google Snippets,No Augmentation,0.102372909,20,491,0.795110695,79.73856209
26:16.5,59:44.0,Google Snippets,No Augmentation,0.070581074,17,383,0.746905562,83.96226415
23:47.0,59:55.4,Google Snippets,Augmentation with max. window size 3,0.15490196,20,353,0.709559039,80.51948052
