Dataset,Augmentation technique,Dataset Reduction (r),Experiment #,Training Epochs,Test loss,Test accuracy
Google Snippets,No Augmentation,1.0,13.125,157.45,0.40804273032499994,89.19970482525001
TREC,Augmentation with max. window size 2,0.013228266,9.5,162.85,3.5172998309,19.090909659799998
TREC,Augmentation with max. window size 2,0.026872146,9.5,311.2,3.08816887145,28.181818724500005
TREC,Augmentation with max. window size 2,0.040958608,9.5,327.6,3.0303939462000007,26.176471338
TREC,Augmentation with max. window size 2,0.055517328,9.5,373.55,2.7555445076000007,32.66666747949999
TREC,Augmentation with max. window size 2,0.07058107400000001,9.5,413.4,2.82175122495,34.2105265705
TREC,Augmentation with max. window size 2,0.086186148,9.5,441.75,2.7025883317499995,35.00000089500001
TREC,Augmentation with max. window size 2,0.102372909,9.5,447.85,2.624752676449999,35.54216832000001
TREC,Augmentation with max. window size 2,0.11918640800000001,9.5,497.35,2.577728986700001,37.93814360999999
TREC,Augmentation with max. window size 2,0.13667714,9.5,515.15,2.5528579354500005,38.6936932785
TREC,Augmentation with max. window size 2,0.15490196,9.5,519.1,2.5875166416,36.785714924
TREC,Augmentation with max. window size 2,0.173925197,9.5,503.2,2.5929189085999997,36.5602834515
TREC,Augmentation with max. window size 2,0.193820026,9.5,535.8,2.4518542528000005,38.630572855500006
TREC,Augmentation with max. window size 2,0.214670165,9.5,570.3,2.4513186872000006,40.1724138855
TREC,Augmentation with max. window size 2,0.236572006,9.5,591.3,2.3889657258999994,40.44270828350001
TREC,Augmentation with max. window size 2,0.25963731100000004,9.5,593.35,2.3681759239,42.547619492500004
TREC,Augmentation with max. window size 2,0.283996656,9.5,476.15,2.3411401271499996,44.17391270350001
TREC,Augmentation with max. window size 2,0.30980392,9.5,443.7,2.3103974343,43.50597739149999
TREC,Augmentation with max. window size 2,0.33724216799999995,9.5,408.7,2.338795566599999,42.106227726499995
TREC,Augmentation with max. window size 2,0.366531544,9.5,449.4,2.261692011349999,44.780405014500005
TREC,Augmentation with max. window size 2,0.397940009,9.5,458.05,2.2138966321499995,45.310559422
TREC,Augmentation with max. window size 2,0.43179827600000004,9.5,444.5,2.2000866891,45.3008599585
TREC,Augmentation with max. window size 2,0.46852108299999995,9.5,468.05,2.1671319009000003,45.9894458955
TREC,Augmentation with max. window size 2,0.508638306,9.5,478.45,2.130700826699999,46.970803141500014
TREC,Augmentation with max. window size 2,0.5528419689999999,9.5,418.75,2.1233533262999997,47.41610720799999
TREC,Augmentation with max. window size 2,0.602059991,9.5,383.15,2.06914902925,48.778234423
TREC,Augmentation with max. window size 2,0.6575773189999999,9.5,390.35,2.0155427634,49.246703683999996
TREC,Augmentation with max. window size 2,0.7212463990000001,9.5,420.05,1.9798180460999997,50.703258663999996
TREC,Augmentation with max. window size 2,0.795880017,9.5,407.7,1.9376334667,51.29082441349999
